ASSEST_ATTACHED_AGENT_ID (group),Day of D.DTS,LEAD_CHANNEL,Measure Names,Yard Region ,Measure Values
,"April 21, 2026",D2C,        AOD Lead Created 2 Assisted Basic Details Submitted ,GJS,0
,"April 21, 2026",D2C,        AOD Lead Created 2 Unassisted Basic Details Submitted ,GJS,0
,"April 21, 2026",D2C,AOD PA% on BD Fill DT,GJS,
,"April 21, 2026",D2C,AOD BL% of Asset Attached and FF (on Asset Attached DT),GJS,
,"April 21, 2026",D2C,AOD Banking Req (on BD Fill DT) 2 Login,GJS,
,"April 21, 2026",D2C,AOD : Assisted Form 1 Filled,GJS,
,"April 21, 2026",D2C,AOD : Unassisted Form 1 Filled ,GJS,
,"April 21, 2026",D2C,AOD Basic Details Filled 2 Banking,GJS,
,"April 21, 2026",D2C,AOD Basic Details Filled 2 Login,GJS,
,"April 21, 2026",D2C,AOD : Login 2 CA,GJS,
,"April 21, 2026",D2C,AOD : CA 2 CApp ,GJS,
,"April 21, 2026",D2C,AOD : Capp to TNC Accptd Ever,GJS,
,"April 21, 2026",D2C,        AOD: TNC Accptd Ever to Doc Upload,GJS,
,"April 21, 2026",D2C,        AOD: TNC Accptd Ever to FCU,GJS,
,"April 21, 2026",D2C,        AOD: TNC Accptd Ever to RCU ,GJS,
,"April 21, 2026",D2C,        AOD: TNC Accptd Ever to DM,GJS,
,"April 21, 2026",D2C,AOD:  DM To Internal Disbursed,GJS,
,"April 21, 2026",D2C,Funl : TNC Accptd Ever to DM,GJS,
,"April 21, 2026",D2C,AOD: TNC Accptd Ever to Int Disbursal,GJS,
,"April 21, 2026",D2C,AOD: Capp Credit Approved to Int Disbursal,GJS,
,"April 21, 2026",D2C,AOD: Capp TNC Accepted to Int Disbursal,GJS,
,"April 21, 2026",D2C,      AOD: Avg ALP on TNC,GJS,
,"April 22, 2026",D2C,AOD Login Done,GJS,
,"April 22, 2026",D2C,AOD Credit Assessed,GJS,
,"April 22, 2026",D2C,AOD Credit Approved,GJS,
,"April 22, 2026",D2C,        AOD TNC Accptd Net,GJS,
,"April 22, 2026",D2C,AOD TNC Accepted,GJS,
,"April 22, 2026",D2C,         AOD: DOC Upload,GJS,
,"April 22, 2026",D2C,        AOD: FCU_CHECKS,GJS,
,"April 22, 2026",D2C,        AOD: RCU_CHECKS,GJS,
,"April 22, 2026",D2C,        AOD: DM,GJS,
,"April 22, 2026",D2C,        AOD: PMAX_DM,GJS,
,"April 22, 2026",D2C,AOD Disbursed ,GJS,
,"April 22, 2026",D2C,AOD Internal Disbursed,GJS,0
,"April 22, 2026",D2C,AOD  PMAX Disbursal,GJS,0
,"April 22, 2026",D2C,AOD Lead Created 2 Basic Details Submitted,GJS,
,"April 22, 2026",D2C,        AOD Lead Created 2 Assisted Basic Details Submitted ,GJS,0
,"April 22, 2026",D2C,        AOD Lead Created 2 Unassisted Basic Details Submitted ,GJS,0
,"April 22, 2026",D2C,AOD PA% on BD Fill DT,GJS,0
,"April 22, 2026",D2C,AOD BL% of Asset Attached and FF (on Asset Attached DT),GJS,
,"April 22, 2026",D2C,AOD Banking Req (on BD Fill DT) 2 Login,GJS,
,"April 22, 2026",D2C,AOD : Assisted Form 1 Filled,GJS,
,"April 22, 2026",D2C,AOD : Unassisted Form 1 Filled ,GJS,
,"April 22, 2026",D2C,AOD Basic Details Filled 2 Banking,GJS,
,"April 22, 2026",D2C,AOD Basic Details Filled 2 Login,GJS,
,"April 22, 2026",D2C,AOD : Login 2 CA,GJS,
,"April 22, 2026",D2C,AOD : CA 2 CApp ,GJS,
,"April 22, 2026",D2C,AOD : Capp to TNC Accptd Ever,GJS,
,"April 22, 2026",D2C,        AOD: TNC Accptd Ever to Doc Upload,GJS,
,"April 22, 2026",D2C,        AOD: TNC Accptd Ever to FCU,GJS,
,"April 22, 2026",D2C,        AOD: TNC Accptd Ever to RCU ,GJS,
,"April 22, 2026",D2C,        AOD: TNC Accptd Ever to DM,GJS,
,"April 22, 2026",D2C,AOD:  DM To Internal Disbursed,GJS,
,"April 22, 2026",D2C,Funl : TNC Accptd Ever to DM,GJS,
,"April 22, 2026",D2C,AOD: TNC Accptd Ever to Int Disbursal,GJS,
,"April 22, 2026",D2C,AOD: Capp Credit Approved to Int Disbursal,GJS,
,"April 22, 2026",D2C,AOD: Capp TNC Accepted to Int Disbursal,GJS,
,"April 22, 2026",D2C,      AOD: Avg ALP on TNC,GJS,
,"April 23, 2026",D2C,AOD Login Done,GJS,
,"April 23, 2026",D2C,AOD Credit Assessed,GJS,
,"April 23, 2026",D2C,AOD Credit Approved,GJS,
,"April 23, 2026",D2C,        AOD TNC Accptd Net,GJS,
,"April 23, 2026",D2C,AOD TNC Accepted,GJS,
,"April 23, 2026",D2C,         AOD: DOC Upload,GJS,
,"April 23, 2026",D2C,        AOD: FCU_CHECKS,GJS,
,"April 23, 2026",D2C,        AOD: RCU_CHECKS,GJS,
,"April 23, 2026",D2C,        AOD: DM,GJS,
,"April 23, 2026",D2C,        AOD: PMAX_DM,GJS,
,"April 23, 2026",D2C,AOD Disbursed ,GJS,
,"April 23, 2026",D2C,AOD Internal Disbursed,GJS,0
,"April 23, 2026",D2C,AOD  PMAX Disbursal,GJS,0
,"April 23, 2026",D2C,AOD Lead Created 2 Basic Details Submitted,GJS,0.033333333
,"April 23, 2026",D2C,        AOD Lead Created 2 Assisted Basic Details Submitted ,GJS,0.033333333
,"April 23, 2026",D2C,        AOD Lead Created 2 Unassisted Basic Details Submitted ,GJS,0
,"April 23, 2026",D2C,AOD PA% on BD Fill DT,GJS,0
,"April 23, 2026",D2C,AOD BL% of Asset Attached and FF (on Asset Attached DT),GJS,
,"April 23, 2026",D2C,AOD Banking Req (on BD Fill DT) 2 Login,GJS,
,"April 23, 2026",D2C,AOD : Assisted Form 1 Filled,GJS,
,"April 23, 2026",D2C,AOD : Unassisted Form 1 Filled ,GJS,
,"April 23, 2026",D2C,AOD Basic Details Filled 2 Banking,GJS,
,"April 23, 2026",D2C,AOD Basic Details Filled 2 Login,GJS,
,"April 23, 2026",D2C,AOD : Login 2 CA,GJS,
,"April 23, 2026",D2C,AOD : CA 2 CApp ,GJS,
,"April 23, 2026",D2C,AOD : Capp to TNC Accptd Ever,GJS,
,"April 23, 2026",D2C,        AOD: TNC Accptd Ever to Doc Upload,GJS,
,"April 23, 2026",D2C,        AOD: TNC Accptd Ever to FCU,GJS,
,"April 23, 2026",D2C,        AOD: TNC Accptd Ever to RCU ,GJS,
,"April 23, 2026",D2C,        AOD: TNC Accptd Ever to DM,GJS,
,"April 23, 2026",D2C,AOD:  DM To Internal Disbursed,GJS,
,"April 23, 2026",D2C,Funl : TNC Accptd Ever to DM,GJS,
,"April 23, 2026",D2C,AOD: TNC Accptd Ever to Int Disbursal,GJS,
,"April 23, 2026",D2C,AOD: Capp Credit Approved to Int Disbursal,GJS,
,"April 23, 2026",D2C,AOD: Capp TNC Accepted to Int Disbursal,GJS,
,"April 23, 2026",D2C,      AOD: Avg ALP on TNC,GJS,
,"April 24, 2026",D2C,AOD Login Done,GJS,
,"April 24, 2026",D2C,AOD Credit Assessed,GJS,
,"April 24, 2026",D2C,AOD Credit Approved,GJS,
,"April 24, 2026",D2C,        AOD TNC Accptd Net,GJS,
,"April 24, 2026",D2C,AOD TNC Accepted,GJS,
,"April 24, 2026",D2C,         AOD: DOC Upload,GJS,
,"April 24, 2026",D2C,        AOD: FCU_CHECKS,GJS,
,"April 24, 2026",D2C,        AOD: RCU_CHECKS,GJS,
,"April 24, 2026",D2C,        AOD: DM,GJS,
,"April 24, 2026",D2C,        AOD: PMAX_DM,GJS,
,"April 24, 2026",D2C,AOD Disbursed ,GJS,
,"April 24, 2026",D2C,AOD Internal Disbursed,GJS,0
,"April 24, 2026",D2C,AOD  PMAX Disbursal,GJS,0
,"April 24, 2026",D2C,AOD Lead Created 2 Basic Details Submitted,GJS,0.052631579
,"April 24, 2026",D2C,        AOD Lead Created 2 Assisted Basic Details Submitted ,GJS,0
,"April 24, 2026",D2C,        AOD Lead Created 2 Unassisted Basic Details Submitted ,GJS,0.052631579
,"April 24, 2026",D2C,AOD PA% on BD Fill DT,GJS,0
,"April 24, 2026",D2C,AOD BL% of Asset Attached and FF (on Asset Attached DT),GJS,
,"April 24, 2026",D2C,AOD Banking Req (on BD Fill DT) 2 Login,GJS,
,"April 24, 2026",D2C,AOD : Assisted Form 1 Filled,GJS,
,"April 24, 2026",D2C,AOD : Unassisted Form 1 Filled ,GJS,
,"April 24, 2026",D2C,AOD Basic Details Filled 2 Banking,GJS,
,"April 24, 2026",D2C,AOD Basic Details Filled 2 Login,GJS,
,"April 24, 2026",D2C,AOD : Login 2 CA,GJS,
,"April 24, 2026",D2C,AOD : CA 2 CApp ,GJS,
,"April 24, 2026",D2C,AOD : Capp to TNC Accptd Ever,GJS,
,"April 24, 2026",D2C,        AOD: TNC Accptd Ever to Doc Upload,GJS,
,"April 24, 2026",D2C,        AOD: TNC Accptd Ever to FCU,GJS,
,"April 24, 2026",D2C,        AOD: TNC Accptd Ever to RCU ,GJS,
,"April 24, 2026",D2C,        AOD: TNC Accptd Ever to DM,GJS,
,"April 24, 2026",D2C,AOD:  DM To Internal Disbursed,GJS,
,"April 24, 2026",D2C,Funl : TNC Accptd Ever to DM,GJS,
,"April 24, 2026",D2C,AOD: TNC Accptd Ever to Int Disbursal,GJS,
,"April 24, 2026",D2C,AOD: Capp Credit Approved to Int Disbursal,GJS,
,"April 24, 2026",D2C,AOD: Capp TNC Accepted to Int Disbursal,GJS,
,"April 24, 2026",D2C,      AOD: Avg ALP on TNC,GJS,
,"April 25, 2026",D2C,AOD Login Done,GJS,
,"April 25, 2026",D2C,AOD Credit Assessed,GJS,
,"April 25, 2026",D2C,AOD Credit Approved,GJS,
,"April 25, 2026",D2C,        AOD TNC Accptd Net,GJS,
,"April 25, 2026",D2C,AOD TNC Accepted,GJS,
,"April 25, 2026",D2C,         AOD: DOC Upload,GJS,
,"April 25, 2026",D2C,        AOD: FCU_CHECKS,GJS,
,"April 25, 2026",D2C,        AOD: RCU_CHECKS,GJS,
,"April 25, 2026",D2C,        AOD: DM,GJS,
,"April 25, 2026",D2C,        AOD: PMAX_DM,GJS,
,"April 25, 2026",D2C,AOD Disbursed ,GJS,
,"April 25, 2026",D2C,AOD Internal Disbursed,GJS,0
,"April 25, 2026",D2C,AOD  PMAX Disbursal,GJS,0
,"April 25, 2026",D2C,AOD Lead Created 2 Basic Details Submitted,GJS,0.071428571
,"April 25, 2026",D2C,        AOD Lead Created 2 Assisted Basic Details Submitted ,GJS,0.035714286
,"April 25, 2026",D2C,        AOD Lead Created 2 Unassisted Basic Details Submitted ,GJS,0.035714286
,"April 25, 2026",D2C,AOD PA% on BD Fill DT,GJS,0
,"April 25, 2026",D2C,AOD BL% of Asset Attached and FF (on Asset Attached DT),GJS,
,"April 25, 2026",D2C,AOD Banking Req (on BD Fill DT) 2 Login,GJS,
,"April 25, 2026",D2C,AOD : Assisted Form 1 Filled,GJS,
,"April 25, 2026",D2C,AOD : Unassisted Form 1 Filled ,GJS,
,"April 25, 2026",D2C,AOD Basic Details Filled 2 Banking,GJS,
,"April 25, 2026",D2C,AOD Basic Details Filled 2 Login,GJS,
,"April 25, 2026",D2C,AOD : Login 2 CA,GJS,
,"April 25, 2026",D2C,AOD : CA 2 CApp ,GJS,
,"April 25, 2026",D2C,AOD : Capp to TNC Accptd Ever,GJS,
,"April 25, 2026",D2C,        AOD: TNC Accptd Ever to Doc Upload,GJS,
,"April 25, 2026",D2C,        AOD: TNC Accptd Ever to FCU,GJS,
,"April 25, 2026",D2C,        AOD: TNC Accptd Ever to RCU ,GJS,
,"April 25, 2026",D2C,        AOD: TNC Accptd Ever to DM,GJS,
,"April 25, 2026",D2C,AOD:  DM To Internal Disbursed,GJS,
,"April 25, 2026",D2C,Funl : TNC Accptd Ever to DM,GJS,
,"April 25, 2026",D2C,AOD: TNC Accptd Ever to Int Disbursal,GJS,
,"April 25, 2026",D2C,AOD: Capp Credit Approved to Int Disbursal,GJS,
,"April 25, 2026",D2C,AOD: Capp TNC Accepted to Int Disbursal,GJS,
,"April 25, 2026",D2C,      AOD: Avg ALP on TNC,GJS,
,"April 26, 2026",D2C,AOD Login Done,GJS,
,"April 26, 2026",D2C,AOD Credit Assessed,GJS,
,"April 26, 2026",D2C,AOD Credit Approved,GJS,
,"April 26, 2026",D2C,        AOD TNC Accptd Net,GJS,
,"April 26, 2026",D2C,AOD TNC Accepted,GJS,
,"April 26, 2026",D2C,         AOD: DOC Upload,GJS,
,"April 26, 2026",D2C,        AOD: FCU_CHECKS,GJS,
,"April 26, 2026",D2C,        AOD: RCU_CHECKS,GJS,
,"April 26, 2026",D2C,        AOD: DM,GJS,
,"April 26, 2026",D2C,        AOD: PMAX_DM,GJS,
,"April 26, 2026",D2C,AOD Disbursed ,GJS,
,"April 26, 2026",D2C,AOD Internal Disbursed,GJS,0
,"April 26, 2026",D2C,AOD  PMAX Disbursal,GJS,0
,"April 26, 2026",D2C,AOD Lead Created 2 Basic Details Submitted,GJS,
,"April 26, 2026",D2C,        AOD Lead Created 2 Assisted Basic Details Submitted ,GJS,0
,"April 26, 2026",D2C,        AOD Lead Created 2 Unassisted Basic Details Submitted ,GJS,0
,"April 26, 2026",D2C,AOD PA% on BD Fill DT,GJS,
,"April 26, 2026",D2C,AOD BL% of Asset Attached and FF (on Asset Attached DT),GJS,
,"April 26, 2026",D2C,AOD Banking Req (on BD Fill DT) 2 Login,GJS,
,"April 26, 2026",D2C,AOD : Assisted Form 1 Filled,GJS,
,"April 26, 2026",D2C,AOD : Unassisted Form 1 Filled ,GJS,
,"April 26, 2026",D2C,AOD Basic Details Filled 2 Banking,GJS,
,"April 26, 2026",D2C,AOD Basic Details Filled 2 Login,GJS,
,"April 26, 2026",D2C,AOD : Login 2 CA,GJS,
,"April 26, 2026",D2C,AOD : CA 2 CApp ,GJS,
,"April 26, 2026",D2C,AOD : Capp to TNC Accptd Ever,GJS,
,"April 26, 2026",D2C,        AOD: TNC Accptd Ever to Doc Upload,GJS,
,"April 26, 2026",D2C,        AOD: TNC Accptd Ever to FCU,GJS,
,"April 26, 2026",D2C,        AOD: TNC Accptd Ever to RCU ,GJS,
,"April 26, 2026",D2C,        AOD: TNC Accptd Ever to DM,GJS,
,"April 26, 2026",D2C,AOD:  DM To Internal Disbursed,GJS,
,"April 26, 2026",D2C,Funl : TNC Accptd Ever to DM,GJS,
,"April 26, 2026",D2C,AOD: TNC Accptd Ever to Int Disbursal,GJS,
,"April 26, 2026",D2C,AOD: Capp Credit Approved to Int Disbursal,GJS,
,"April 26, 2026",D2C,AOD: Capp TNC Accepted to Int Disbursal,GJS,
,"April 26, 2026",D2C,      AOD: Avg ALP on TNC,GJS,
,"April 27, 2026",D2C,AOD Login Done,GJS,
,"April 27, 2026",D2C,AOD Credit Assessed,GJS,
,"April 27, 2026",D2C,AOD Credit Approved,GJS,
,"April 27, 2026",D2C,        AOD TNC Accptd Net,GJS,
,"April 27, 2026",D2C,AOD TNC Accepted,GJS,
,"April 27, 2026",D2C,         AOD: DOC Upload,GJS,
,"April 27, 2026",D2C,        AOD: FCU_CHECKS,GJS,
,"April 27, 2026",D2C,        AOD: RCU_CHECKS,GJS,
,"April 27, 2026",D2C,        AOD: DM,GJS,
,"April 27, 2026",D2C,        AOD: PMAX_DM,GJS,
,"April 27, 2026",D2C,AOD Disbursed ,GJS,
,"April 27, 2026",D2C,AOD Internal Disbursed,GJS,0
,"April 27, 2026",D2C,AOD  PMAX Disbursal,GJS,0
,"April 27, 2026",D2C,AOD Lead Created 2 Basic Details Submitted,GJS,0.066666667
,"April 27, 2026",D2C,        AOD Lead Created 2 Assisted Basic Details Submitted ,GJS,0
,"April 27, 2026",D2C,        AOD Lead Created 2 Unassisted Basic Details Submitted ,GJS,0.066666667
,"April 27, 2026",D2C,AOD PA% on BD Fill DT,GJS,0.75
,"April 27, 2026",D2C,AOD BL% of Asset Attached and FF (on Asset Attached DT),GJS,
,"April 27, 2026",D2C,AOD Banking Req (on BD Fill DT) 2 Login,GJS,
,"April 27, 2026",D2C,AOD : Assisted Form 1 Filled,GJS,
,"April 27, 2026",D2C,AOD : Unassisted Form 1 Filled ,GJS,
,"April 27, 2026",D2C,AOD Basic Details Filled 2 Banking,GJS,
,"April 27, 2026",D2C,AOD Basic Details Filled 2 Login,GJS,
,"April 27, 2026",D2C,AOD : Login 2 CA,GJS,
,"April 27, 2026",D2C,AOD : CA 2 CApp ,GJS,
,"April 27, 2026",D2C,AOD : Capp to TNC Accptd Ever,GJS,
,"April 27, 2026",D2C,        AOD: TNC Accptd Ever to Doc Upload,GJS,
,"April 27, 2026",D2C,        AOD: TNC Accptd Ever to FCU,GJS,
,"April 27, 2026",D2C,        AOD: TNC Accptd Ever to RCU ,GJS,
,"April 27, 2026",D2C,        AOD: TNC Accptd Ever to DM,GJS,
,"April 27, 2026",D2C,AOD:  DM To Internal Disbursed,GJS,
,"April 27, 2026",D2C,Funl : TNC Accptd Ever to DM,GJS,
,"April 27, 2026",D2C,AOD: TNC Accptd Ever to Int Disbursal,GJS,
,"April 27, 2026",D2C,AOD: Capp Credit Approved to Int Disbursal,GJS,
,"April 27, 2026",D2C,AOD: Capp TNC Accepted to Int Disbursal,GJS,
,"April 27, 2026",D2C,      AOD: Avg ALP on TNC,GJS,
,"April 28, 2026",D2C,AOD Login Done,GJS,
,"April 28, 2026",D2C,AOD Credit Assessed,GJS,
,"April 28, 2026",D2C,AOD Credit Approved,GJS,
,"April 28, 2026",D2C,        AOD TNC Accptd Net,GJS,
,"April 28, 2026",D2C,AOD TNC Accepted,GJS,
,"April 28, 2026",D2C,         AOD: DOC Upload,GJS,
,"April 28, 2026",D2C,        AOD: FCU_CHECKS,GJS,
,"April 28, 2026",D2C,        AOD: RCU_CHECKS,GJS,
,"April 28, 2026",D2C,        AOD: DM,GJS,
,"April 28, 2026",D2C,        AOD: PMAX_DM,GJS,
,"April 28, 2026",D2C,AOD Disbursed ,GJS,
,"April 28, 2026",D2C,AOD Internal Disbursed,GJS,0
,"April 28, 2026",D2C,AOD  PMAX Disbursal,GJS,0
,"April 28, 2026",D2C,AOD Lead Created 2 Basic Details Submitted,GJS,0.0625
,"April 28, 2026",D2C,        AOD Lead Created 2 Assisted Basic Details Submitted ,GJS,0.0625
,"April 28, 2026",D2C,        AOD Lead Created 2 Unassisted Basic Details Submitted ,GJS,0
,"April 28, 2026",D2C,AOD PA% on BD Fill DT,GJS,1
,"April 28, 2026",D2C,AOD BL% of Asset Attached and FF (on Asset Attached DT),GJS,
,"April 28, 2026",D2C,AOD Banking Req (on BD Fill DT) 2 Login,GJS,
,"April 28, 2026",D2C,AOD : Assisted Form 1 Filled,GJS,
,"April 28, 2026",D2C,AOD : Unassisted Form 1 Filled ,GJS,
,"April 28, 2026",D2C,AOD Basic Details Filled 2 Banking,GJS,
,"April 28, 2026",D2C,AOD Basic Details Filled 2 Login,GJS,
,"April 28, 2026",D2C,AOD : Login 2 CA,GJS,
,"April 28, 2026",D2C,AOD : CA 2 CApp ,GJS,
,"April 28, 2026",D2C,AOD : Capp to TNC Accptd Ever,GJS,
,"April 28, 2026",D2C,        AOD: TNC Accptd Ever to Doc Upload,GJS,
,"April 28, 2026",D2C,        AOD: TNC Accptd Ever to FCU,GJS,
,"April 28, 2026",D2C,        AOD: TNC Accptd Ever to RCU ,GJS,
,"April 28, 2026",D2C,        AOD: TNC Accptd Ever to DM,GJS,
,"April 28, 2026",D2C,AOD:  DM To Internal Disbursed,GJS,
,"April 28, 2026",D2C,Funl : TNC Accptd Ever to DM,GJS,
,"April 28, 2026",D2C,AOD: TNC Accptd Ever to Int Disbursal,GJS,
,"April 28, 2026",D2C,AOD: Capp Credit Approved to Int Disbursal,GJS,
,"April 28, 2026",D2C,AOD: Capp TNC Accepted to Int Disbursal,GJS,
,"April 28, 2026",D2C,      AOD: Avg ALP on TNC,GJS,
,"April 29, 2026",D2C,AOD Login Done,GJS,
,"April 29, 2026",D2C,AOD Credit Assessed,GJS,
,"April 29, 2026",D2C,AOD Credit Approved,GJS,
,"April 29, 2026",D2C,        AOD TNC Accptd Net,GJS,
,"April 29, 2026",D2C,AOD TNC Accepted,GJS,
,"April 29, 2026",D2C,         AOD: DOC Upload,GJS,
,"April 29, 2026",D2C,        AOD: FCU_CHECKS,GJS,
,"April 29, 2026",D2C,        AOD: RCU_CHECKS,GJS,
,"April 29, 2026",D2C,        AOD: DM,GJS,
,"April 29, 2026",D2C,        AOD: PMAX_DM,GJS,
,"April 29, 2026",D2C,AOD Disbursed ,GJS,
,"April 29, 2026",D2C,AOD Internal Disbursed,GJS,0
,"April 29, 2026",D2C,AOD  PMAX Disbursal,GJS,0
,"April 29, 2026",D2C,AOD Lead Created 2 Basic Details Submitted,GJS,0.086956522
,"April 29, 2026",D2C,        AOD Lead Created 2 Assisted Basic Details Submitted ,GJS,0
,"April 29, 2026",D2C,        AOD Lead Created 2 Unassisted Basic Details Submitted ,GJS,0.086956522
,"April 29, 2026",D2C,AOD PA% on BD Fill DT,GJS,0.25
,"April 29, 2026",D2C,AOD BL% of Asset Attached and FF (on Asset Attached DT),GJS,
,"April 29, 2026",D2C,AOD Banking Req (on BD Fill DT) 2 Login,GJS,
,"April 29, 2026",D2C,AOD : Assisted Form 1 Filled,GJS,
,"April 29, 2026",D2C,AOD : Unassisted Form 1 Filled ,GJS,
,"April 29, 2026",D2C,AOD Basic Details Filled 2 Banking,GJS,
,"April 29, 2026",D2C,AOD Basic Details Filled 2 Login,GJS,
,"April 29, 2026",D2C,AOD : Login 2 CA,GJS,
,"April 29, 2026",D2C,AOD : CA 2 CApp ,GJS,
,"April 29, 2026",D2C,AOD : Capp to TNC Accptd Ever,GJS,
,"April 29, 2026",D2C,        AOD: TNC Accptd Ever to Doc Upload,GJS,
,"April 29, 2026",D2C,        AOD: TNC Accptd Ever to FCU,GJS,
,"April 29, 2026",D2C,        AOD: TNC Accptd Ever to RCU ,GJS,
,"April 29, 2026",D2C,        AOD: TNC Accptd Ever to DM,GJS,
,"April 29, 2026",D2C,AOD:  DM To Internal Disbursed,GJS,
,"April 29, 2026",D2C,Funl : TNC Accptd Ever to DM,GJS,
,"April 29, 2026",D2C,AOD: TNC Accptd Ever to Int Disbursal,GJS,
,"April 29, 2026",D2C,AOD: Capp Credit Approved to Int Disbursal,GJS,
,"April 29, 2026",D2C,AOD: Capp TNC Accepted to Int Disbursal,GJS,
,"April 29, 2026",D2C,      AOD: Avg ALP on TNC,GJS,
,"April 30, 2026",D2C,AOD Login Done,GJS,
,"April 30, 2026",D2C,AOD Credit Assessed,GJS,
,"April 30, 2026",D2C,AOD Credit Approved,GJS,
,"April 30, 2026",D2C,        AOD TNC Accptd Net,GJS,
,"April 30, 2026",D2C,AOD TNC Accepted,GJS,
,"April 30, 2026",D2C,         AOD: DOC Upload,GJS,
,"April 30, 2026",D2C,        AOD: FCU_CHECKS,GJS,
,"April 30, 2026",D2C,        AOD: RCU_CHECKS,GJS,
,"April 30, 2026",D2C,        AOD: DM,GJS,
,"April 30, 2026",D2C,        AOD: PMAX_DM,GJS,
,"April 30, 2026",D2C,AOD Disbursed ,GJS,
,"April 30, 2026",D2C,AOD Internal Disbursed,GJS,0
,"April 30, 2026",D2C,AOD  PMAX Disbursal,GJS,0
,"April 30, 2026",D2C,AOD Lead Created 2 Basic Details Submitted,GJS,0.058823529
,"April 30, 2026",D2C,        AOD Lead Created 2 Assisted Basic Details Submitted ,GJS,0
,"April 30, 2026",D2C,        AOD Lead Created 2 Unassisted Basic Details Submitted ,GJS,0.058823529
,"April 30, 2026",D2C,AOD PA% on BD Fill DT,GJS,0
,"April 30, 2026",D2C,AOD BL% of Asset Attached and FF (on Asset Attached DT),GJS,
,"April 30, 2026",D2C,AOD Banking Req (on BD Fill DT) 2 Login,GJS,
,"April 30, 2026",D2C,AOD : Assisted Form 1 Filled,GJS,
,"April 30, 2026",D2C,AOD : Unassisted Form 1 Filled ,GJS,
,"April 30, 2026",D2C,AOD Basic Details Filled 2 Banking,GJS,
,"April 30, 2026",D2C,AOD Basic Details Filled 2 Login,GJS,
,"April 30, 2026",D2C,AOD : Login 2 CA,GJS,
,"April 30, 2026",D2C,AOD : CA 2 CApp ,GJS,
,"April 30, 2026",D2C,AOD : Capp to TNC Accptd Ever,GJS,
,"April 30, 2026",D2C,        AOD: TNC Accptd Ever to Doc Upload,GJS,
,"April 30, 2026",D2C,        AOD: TNC Accptd Ever to FCU,GJS,
,"April 30, 2026",D2C,        AOD: TNC Accptd Ever to RCU ,GJS,
,"April 30, 2026",D2C,        AOD: TNC Accptd Ever to DM,GJS,
,"April 30, 2026",D2C,AOD:  DM To Internal Disbursed,GJS,
,"April 30, 2026",D2C,Funl : TNC Accptd Ever to DM,GJS,
,"April 30, 2026",D2C,AOD: TNC Accptd Ever to Int Disbursal,GJS,
,"April 30, 2026",D2C,AOD: Capp Credit Approved to Int Disbursal,GJS,
,"April 30, 2026",D2C,AOD: Capp TNC Accepted to Int Disbursal,GJS,
,"April 30, 2026",D2C,      AOD: Avg ALP on TNC,GJS,
,"May 1, 2026",D2C,AOD Login Done,GJS,
,"May 1, 2026",D2C,AOD Credit Assessed,GJS,
,"May 1, 2026",D2C,AOD Credit Approved,GJS,
,"May 1, 2026",D2C,        AOD TNC Accptd Net,GJS,
,"May 1, 2026",D2C,AOD TNC Accepted,GJS,
,"May 1, 2026",D2C,         AOD: DOC Upload,GJS,
,"May 1, 2026",D2C,        AOD: FCU_CHECKS,GJS,
,"May 1, 2026",D2C,        AOD: RCU_CHECKS,GJS,
,"May 1, 2026",D2C,        AOD: DM,GJS,
,"May 1, 2026",D2C,        AOD: PMAX_DM,GJS,
,"May 1, 2026",D2C,AOD Disbursed ,GJS,
,"May 1, 2026",D2C,AOD Internal Disbursed,GJS,0
,"May 1, 2026",D2C,AOD  PMAX Disbursal,GJS,0
,"May 1, 2026",D2C,AOD Lead Created 2 Basic Details Submitted,GJS,0.058823529
,"May 1, 2026",D2C,        AOD Lead Created 2 Assisted Basic Details Submitted ,GJS,0
,"May 1, 2026",D2C,        AOD Lead Created 2 Unassisted Basic Details Submitted ,GJS,0.058823529
,"May 1, 2026",D2C,AOD PA% on BD Fill DT,GJS,0
,"May 1, 2026",D2C,AOD BL% of Asset Attached and FF (on Asset Attached DT),GJS,
,"May 1, 2026",D2C,AOD Banking Req (on BD Fill DT) 2 Login,GJS,
,"May 1, 2026",D2C,AOD : Assisted Form 1 Filled,GJS,
,"May 1, 2026",D2C,AOD : Unassisted Form 1 Filled ,GJS,
,"May 1, 2026",D2C,AOD Basic Details Filled 2 Banking,GJS,
,"May 1, 2026",D2C,AOD Basic Details Filled 2 Login,GJS,
,"May 1, 2026",D2C,AOD : Login 2 CA,GJS,
,"May 1, 2026",D2C,AOD : CA 2 CApp ,GJS,
,"May 1, 2026",D2C,AOD : Capp to TNC Accptd Ever,GJS,
,"May 1, 2026",D2C,        AOD: TNC Accptd Ever to Doc Upload,GJS,
,"May 1, 2026",D2C,        AOD: TNC Accptd Ever to FCU,GJS,
,"May 1, 2026",D2C,        AOD: TNC Accptd Ever to RCU ,GJS,
,"May 1, 2026",D2C,        AOD: TNC Accptd Ever to DM,GJS,
,"May 1, 2026",D2C,AOD:  DM To Internal Disbursed,GJS,
,"May 1, 2026",D2C,Funl : TNC Accptd Ever to DM,GJS,
,"May 1, 2026",D2C,AOD: TNC Accptd Ever to Int Disbursal,GJS,
,"May 1, 2026",D2C,AOD: Capp Credit Approved to Int Disbursal,GJS,
,"May 1, 2026",D2C,AOD: Capp TNC Accepted to Int Disbursal,GJS,
