ASSEST_ATTACHED_AGENT_ID (group),Day of D.DTS,LEAD_CHANNEL,Measure Names,Yard Region ,Measure Values
,"April 3, 2026",D2C,AOD TNC Accepted,AMD,
,"April 3, 2026",D2C,         AOD: DOC Upload,AMD,
,"April 3, 2026",D2C,        AOD: FCU_CHECKS,AMD,
,"April 3, 2026",D2C,        AOD: RCU_CHECKS,AMD,
,"April 3, 2026",D2C,        AOD: DM,AMD,
,"April 3, 2026",D2C,        AOD: PMAX_DM,AMD,
,"April 3, 2026",D2C,AOD Disbursed ,AMD,
,"April 3, 2026",D2C,AOD Internal Disbursed,AMD,0
,"April 3, 2026",D2C,AOD  PMAX Disbursal,AMD,0
,"April 3, 2026",D2C,AOD Lead Created 2 Basic Details Submitted,AMD,0.083333333
,"April 3, 2026",D2C,        AOD Lead Created 2 Assisted Basic Details Submitted ,AMD,0
,"April 3, 2026",D2C,        AOD Lead Created 2 Unassisted Basic Details Submitted ,AMD,0.083333333
,"April 3, 2026",D2C,AOD PA% on BD Fill DT,AMD,0
,"April 3, 2026",D2C,AOD BL% of Asset Attached and FF (on Asset Attached DT),AMD,
,"April 3, 2026",D2C,AOD Banking Req (on BD Fill DT) 2 Login,AMD,
,"April 3, 2026",D2C,AOD : Assisted Form 1 Filled,AMD,
,"April 3, 2026",D2C,AOD : Unassisted Form 1 Filled ,AMD,
,"April 3, 2026",D2C,AOD Basic Details Filled 2 Banking,AMD,
,"April 3, 2026",D2C,AOD Basic Details Filled 2 Login,AMD,
,"April 3, 2026",D2C,AOD : Login 2 CA,AMD,
,"April 3, 2026",D2C,AOD : CA 2 CApp ,AMD,
,"April 3, 2026",D2C,AOD : Capp to TNC Accptd Ever,AMD,
,"April 3, 2026",D2C,        AOD: TNC Accptd Ever to Doc Upload,AMD,
,"April 3, 2026",D2C,        AOD: TNC Accptd Ever to FCU,AMD,
,"April 3, 2026",D2C,        AOD: TNC Accptd Ever to RCU ,AMD,
,"April 3, 2026",D2C,        AOD: TNC Accptd Ever to DM,AMD,
,"April 3, 2026",D2C,AOD:  DM To Internal Disbursed,AMD,
,"April 3, 2026",D2C,Funl : TNC Accptd Ever to DM,AMD,
,"April 3, 2026",D2C,AOD: TNC Accptd Ever to Int Disbursal,AMD,
,"April 3, 2026",D2C,AOD: Capp Credit Approved to Int Disbursal,AMD,
,"April 3, 2026",D2C,AOD: Capp TNC Accepted to Int Disbursal,AMD,
,"April 3, 2026",D2C,      AOD: Avg ALP on TNC,AMD,
,"April 4, 2026",D2C,AOD Login Done,AMD,
,"April 4, 2026",D2C,AOD Credit Assessed,AMD,
,"April 4, 2026",D2C,AOD Credit Approved,AMD,
,"April 4, 2026",D2C,        AOD TNC Accptd Net,AMD,
,"April 4, 2026",D2C,AOD TNC Accepted,AMD,
,"April 4, 2026",D2C,         AOD: DOC Upload,AMD,
,"April 4, 2026",D2C,        AOD: FCU_CHECKS,AMD,
,"April 4, 2026",D2C,        AOD: RCU_CHECKS,AMD,
,"April 4, 2026",D2C,        AOD: DM,AMD,
,"April 4, 2026",D2C,        AOD: PMAX_DM,AMD,
,"April 4, 2026",D2C,AOD Disbursed ,AMD,
,"April 4, 2026",D2C,AOD Internal Disbursed,AMD,0
,"April 4, 2026",D2C,AOD  PMAX Disbursal,AMD,0
,"April 4, 2026",D2C,AOD Lead Created 2 Basic Details Submitted,AMD,0.272727273
,"April 4, 2026",D2C,        AOD Lead Created 2 Assisted Basic Details Submitted ,AMD,0.090909091
,"April 4, 2026",D2C,        AOD Lead Created 2 Unassisted Basic Details Submitted ,AMD,0.181818182
,"April 4, 2026",D2C,AOD PA% on BD Fill DT,AMD,0
,"April 4, 2026",D2C,AOD BL% of Asset Attached and FF (on Asset Attached DT),AMD,
,"April 4, 2026",D2C,AOD Banking Req (on BD Fill DT) 2 Login,AMD,
,"April 4, 2026",D2C,AOD : Assisted Form 1 Filled,AMD,
,"April 4, 2026",D2C,AOD : Unassisted Form 1 Filled ,AMD,
,"April 4, 2026",D2C,AOD Basic Details Filled 2 Banking,AMD,
,"April 4, 2026",D2C,AOD Basic Details Filled 2 Login,AMD,
,"April 4, 2026",D2C,AOD : Login 2 CA,AMD,
,"April 4, 2026",D2C,AOD : CA 2 CApp ,AMD,
,"April 4, 2026",D2C,AOD : Capp to TNC Accptd Ever,AMD,
,"April 4, 2026",D2C,        AOD: TNC Accptd Ever to Doc Upload,AMD,
,"April 4, 2026",D2C,        AOD: TNC Accptd Ever to FCU,AMD,
,"April 4, 2026",D2C,        AOD: TNC Accptd Ever to RCU ,AMD,
,"April 4, 2026",D2C,        AOD: TNC Accptd Ever to DM,AMD,
,"April 4, 2026",D2C,AOD:  DM To Internal Disbursed,AMD,
,"April 4, 2026",D2C,Funl : TNC Accptd Ever to DM,AMD,
,"April 4, 2026",D2C,AOD: TNC Accptd Ever to Int Disbursal,AMD,
,"April 4, 2026",D2C,AOD: Capp Credit Approved to Int Disbursal,AMD,
,"April 4, 2026",D2C,AOD: Capp TNC Accepted to Int Disbursal,AMD,
,"April 4, 2026",D2C,      AOD: Avg ALP on TNC,AMD,
,"April 5, 2026",D2C,AOD Login Done,AMD,
,"April 5, 2026",D2C,AOD Credit Assessed,AMD,
,"April 5, 2026",D2C,AOD Credit Approved,AMD,
,"April 5, 2026",D2C,        AOD TNC Accptd Net,AMD,
,"April 5, 2026",D2C,AOD TNC Accepted,AMD,
,"April 5, 2026",D2C,         AOD: DOC Upload,AMD,
,"April 5, 2026",D2C,        AOD: FCU_CHECKS,AMD,
,"April 5, 2026",D2C,        AOD: RCU_CHECKS,AMD,
,"April 5, 2026",D2C,        AOD: DM,AMD,
,"April 5, 2026",D2C,        AOD: PMAX_DM,AMD,
,"April 5, 2026",D2C,AOD Disbursed ,AMD,
,"April 5, 2026",D2C,AOD Internal Disbursed,AMD,0
,"April 5, 2026",D2C,AOD  PMAX Disbursal,AMD,0
,"April 5, 2026",D2C,AOD Lead Created 2 Basic Details Submitted,AMD,0.2
,"April 5, 2026",D2C,        AOD Lead Created 2 Assisted Basic Details Submitted ,AMD,0.04
,"April 5, 2026",D2C,        AOD Lead Created 2 Unassisted Basic Details Submitted ,AMD,0.12
,"April 5, 2026",D2C,AOD PA% on BD Fill DT,AMD,0.285714286
,"April 5, 2026",D2C,AOD BL% of Asset Attached and FF (on Asset Attached DT),AMD,
,"April 5, 2026",D2C,AOD Banking Req (on BD Fill DT) 2 Login,AMD,
,"April 5, 2026",D2C,AOD : Assisted Form 1 Filled,AMD,
,"April 5, 2026",D2C,AOD : Unassisted Form 1 Filled ,AMD,
,"April 5, 2026",D2C,AOD Basic Details Filled 2 Banking,AMD,
,"April 5, 2026",D2C,AOD Basic Details Filled 2 Login,AMD,
,"April 5, 2026",D2C,AOD : Login 2 CA,AMD,
,"April 5, 2026",D2C,AOD : CA 2 CApp ,AMD,
,"April 5, 2026",D2C,AOD : Capp to TNC Accptd Ever,AMD,
,"April 5, 2026",D2C,        AOD: TNC Accptd Ever to Doc Upload,AMD,
,"April 5, 2026",D2C,        AOD: TNC Accptd Ever to FCU,AMD,
,"April 5, 2026",D2C,        AOD: TNC Accptd Ever to RCU ,AMD,
,"April 5, 2026",D2C,        AOD: TNC Accptd Ever to DM,AMD,
,"April 5, 2026",D2C,AOD:  DM To Internal Disbursed,AMD,
,"April 5, 2026",D2C,Funl : TNC Accptd Ever to DM,AMD,
,"April 5, 2026",D2C,AOD: TNC Accptd Ever to Int Disbursal,AMD,
,"April 5, 2026",D2C,AOD: Capp Credit Approved to Int Disbursal,AMD,
,"April 5, 2026",D2C,AOD: Capp TNC Accepted to Int Disbursal,AMD,
,"April 5, 2026",D2C,      AOD: Avg ALP on TNC,AMD,
,"April 6, 2026",D2C,AOD Login Done,AMD,
,"April 6, 2026",D2C,AOD Credit Assessed,AMD,
,"April 6, 2026",D2C,AOD Credit Approved,AMD,
,"April 6, 2026",D2C,        AOD TNC Accptd Net,AMD,
,"April 6, 2026",D2C,AOD TNC Accepted,AMD,
,"April 6, 2026",D2C,         AOD: DOC Upload,AMD,
,"April 6, 2026",D2C,        AOD: FCU_CHECKS,AMD,
,"April 6, 2026",D2C,        AOD: RCU_CHECKS,AMD,
,"April 6, 2026",D2C,        AOD: DM,AMD,
,"April 6, 2026",D2C,        AOD: PMAX_DM,AMD,
,"April 6, 2026",D2C,AOD Disbursed ,AMD,
,"April 6, 2026",D2C,AOD Internal Disbursed,AMD,0
,"April 6, 2026",D2C,AOD  PMAX Disbursal,AMD,0
,"April 6, 2026",D2C,AOD Lead Created 2 Basic Details Submitted,AMD,0.052631579
,"April 6, 2026",D2C,        AOD Lead Created 2 Assisted Basic Details Submitted ,AMD,0
,"April 6, 2026",D2C,        AOD Lead Created 2 Unassisted Basic Details Submitted ,AMD,0.052631579
,"April 6, 2026",D2C,AOD PA% on BD Fill DT,AMD,0
,"April 6, 2026",D2C,AOD BL% of Asset Attached and FF (on Asset Attached DT),AMD,
,"April 6, 2026",D2C,AOD Banking Req (on BD Fill DT) 2 Login,AMD,
,"April 6, 2026",D2C,AOD : Assisted Form 1 Filled,AMD,
,"April 6, 2026",D2C,AOD : Unassisted Form 1 Filled ,AMD,
,"April 6, 2026",D2C,AOD Basic Details Filled 2 Banking,AMD,
,"April 6, 2026",D2C,AOD Basic Details Filled 2 Login,AMD,
,"April 6, 2026",D2C,AOD : Login 2 CA,AMD,
,"April 6, 2026",D2C,AOD : CA 2 CApp ,AMD,
,"April 6, 2026",D2C,AOD : Capp to TNC Accptd Ever,AMD,
,"April 6, 2026",D2C,        AOD: TNC Accptd Ever to Doc Upload,AMD,
,"April 6, 2026",D2C,        AOD: TNC Accptd Ever to FCU,AMD,
,"April 6, 2026",D2C,        AOD: TNC Accptd Ever to RCU ,AMD,
,"April 6, 2026",D2C,        AOD: TNC Accptd Ever to DM,AMD,
,"April 6, 2026",D2C,AOD:  DM To Internal Disbursed,AMD,
,"April 6, 2026",D2C,Funl : TNC Accptd Ever to DM,AMD,
,"April 6, 2026",D2C,AOD: TNC Accptd Ever to Int Disbursal,AMD,
,"April 6, 2026",D2C,AOD: Capp Credit Approved to Int Disbursal,AMD,
,"April 6, 2026",D2C,AOD: Capp TNC Accepted to Int Disbursal,AMD,
,"April 6, 2026",D2C,      AOD: Avg ALP on TNC,AMD,
,"April 7, 2026",D2C,AOD Login Done,AMD,
,"April 7, 2026",D2C,AOD Credit Assessed,AMD,
,"April 7, 2026",D2C,AOD Credit Approved,AMD,
,"April 7, 2026",D2C,        AOD TNC Accptd Net,AMD,
,"April 7, 2026",D2C,AOD TNC Accepted,AMD,
,"April 7, 2026",D2C,         AOD: DOC Upload,AMD,
,"April 7, 2026",D2C,        AOD: FCU_CHECKS,AMD,
,"April 7, 2026",D2C,        AOD: RCU_CHECKS,AMD,
,"April 7, 2026",D2C,        AOD: DM,AMD,
,"April 7, 2026",D2C,        AOD: PMAX_DM,AMD,
,"April 7, 2026",D2C,AOD Disbursed ,AMD,
,"April 7, 2026",D2C,AOD Internal Disbursed,AMD,0
,"April 7, 2026",D2C,AOD  PMAX Disbursal,AMD,0
,"April 7, 2026",D2C,AOD Lead Created 2 Basic Details Submitted,AMD,0.117647059
,"April 7, 2026",D2C,        AOD Lead Created 2 Assisted Basic Details Submitted ,AMD,0
,"April 7, 2026",D2C,        AOD Lead Created 2 Unassisted Basic Details Submitted ,AMD,0.117647059
,"April 7, 2026",D2C,AOD PA% on BD Fill DT,AMD,0.8
,"April 7, 2026",D2C,AOD BL% of Asset Attached and FF (on Asset Attached DT),AMD,
,"April 7, 2026",D2C,AOD Banking Req (on BD Fill DT) 2 Login,AMD,
,"April 7, 2026",D2C,AOD : Assisted Form 1 Filled,AMD,
,"April 7, 2026",D2C,AOD : Unassisted Form 1 Filled ,AMD,
,"April 7, 2026",D2C,AOD Basic Details Filled 2 Banking,AMD,
,"April 7, 2026",D2C,AOD Basic Details Filled 2 Login,AMD,
,"April 7, 2026",D2C,AOD : Login 2 CA,AMD,
,"April 7, 2026",D2C,AOD : CA 2 CApp ,AMD,
,"April 7, 2026",D2C,AOD : Capp to TNC Accptd Ever,AMD,
,"April 7, 2026",D2C,        AOD: TNC Accptd Ever to Doc Upload,AMD,
,"April 7, 2026",D2C,        AOD: TNC Accptd Ever to FCU,AMD,
,"April 7, 2026",D2C,        AOD: TNC Accptd Ever to RCU ,AMD,
,"April 7, 2026",D2C,        AOD: TNC Accptd Ever to DM,AMD,
,"April 7, 2026",D2C,AOD:  DM To Internal Disbursed,AMD,
,"April 7, 2026",D2C,Funl : TNC Accptd Ever to DM,AMD,
,"April 7, 2026",D2C,AOD: TNC Accptd Ever to Int Disbursal,AMD,
,"April 7, 2026",D2C,AOD: Capp Credit Approved to Int Disbursal,AMD,
,"April 7, 2026",D2C,AOD: Capp TNC Accepted to Int Disbursal,AMD,
,"April 7, 2026",D2C,      AOD: Avg ALP on TNC,AMD,
,"April 8, 2026",D2C,AOD Login Done,AMD,
,"April 8, 2026",D2C,AOD Credit Assessed,AMD,
,"April 8, 2026",D2C,AOD Credit Approved,AMD,
,"April 8, 2026",D2C,        AOD TNC Accptd Net,AMD,
,"April 8, 2026",D2C,AOD TNC Accepted,AMD,
,"April 8, 2026",D2C,         AOD: DOC Upload,AMD,
,"April 8, 2026",D2C,        AOD: FCU_CHECKS,AMD,
,"April 8, 2026",D2C,        AOD: RCU_CHECKS,AMD,
,"April 8, 2026",D2C,        AOD: DM,AMD,
,"April 8, 2026",D2C,        AOD: PMAX_DM,AMD,
,"April 8, 2026",D2C,AOD Disbursed ,AMD,
,"April 8, 2026",D2C,AOD Internal Disbursed,AMD,0
,"April 8, 2026",D2C,AOD  PMAX Disbursal,AMD,0
,"April 8, 2026",D2C,AOD Lead Created 2 Basic Details Submitted,AMD,0.076923077
,"April 8, 2026",D2C,        AOD Lead Created 2 Assisted Basic Details Submitted ,AMD,0
,"April 8, 2026",D2C,        AOD Lead Created 2 Unassisted Basic Details Submitted ,AMD,0.076923077
,"April 8, 2026",D2C,AOD PA% on BD Fill DT,AMD,0.4
,"April 8, 2026",D2C,AOD BL% of Asset Attached and FF (on Asset Attached DT),AMD,
,"April 8, 2026",D2C,AOD Banking Req (on BD Fill DT) 2 Login,AMD,
,"April 8, 2026",D2C,AOD : Assisted Form 1 Filled,AMD,
,"April 8, 2026",D2C,AOD : Unassisted Form 1 Filled ,AMD,
,"April 8, 2026",D2C,AOD Basic Details Filled 2 Banking,AMD,
,"April 8, 2026",D2C,AOD Basic Details Filled 2 Login,AMD,
,"April 8, 2026",D2C,AOD : Login 2 CA,AMD,
,"April 8, 2026",D2C,AOD : CA 2 CApp ,AMD,
,"April 8, 2026",D2C,AOD : Capp to TNC Accptd Ever,AMD,
,"April 8, 2026",D2C,        AOD: TNC Accptd Ever to Doc Upload,AMD,
,"April 8, 2026",D2C,        AOD: TNC Accptd Ever to FCU,AMD,
,"April 8, 2026",D2C,        AOD: TNC Accptd Ever to RCU ,AMD,
,"April 8, 2026",D2C,        AOD: TNC Accptd Ever to DM,AMD,
,"April 8, 2026",D2C,AOD:  DM To Internal Disbursed,AMD,
,"April 8, 2026",D2C,Funl : TNC Accptd Ever to DM,AMD,
,"April 8, 2026",D2C,AOD: TNC Accptd Ever to Int Disbursal,AMD,
,"April 8, 2026",D2C,AOD: Capp Credit Approved to Int Disbursal,AMD,
,"April 8, 2026",D2C,AOD: Capp TNC Accepted to Int Disbursal,AMD,
,"April 8, 2026",D2C,      AOD: Avg ALP on TNC,AMD,
,"April 9, 2026",D2C,AOD Login Done,AMD,
,"April 9, 2026",D2C,AOD Credit Assessed,AMD,
,"April 9, 2026",D2C,AOD Credit Approved,AMD,
,"April 9, 2026",D2C,        AOD TNC Accptd Net,AMD,
,"April 9, 2026",D2C,AOD TNC Accepted,AMD,
,"April 9, 2026",D2C,         AOD: DOC Upload,AMD,
,"April 9, 2026",D2C,        AOD: FCU_CHECKS,AMD,
,"April 9, 2026",D2C,        AOD: RCU_CHECKS,AMD,
,"April 9, 2026",D2C,        AOD: DM,AMD,
,"April 9, 2026",D2C,        AOD: PMAX_DM,AMD,
,"April 9, 2026",D2C,AOD Disbursed ,AMD,
,"April 9, 2026",D2C,AOD Internal Disbursed,AMD,0
,"April 9, 2026",D2C,AOD  PMAX Disbursal,AMD,0
,"April 9, 2026",D2C,AOD Lead Created 2 Basic Details Submitted,AMD,0.090909091
,"April 9, 2026",D2C,        AOD Lead Created 2 Assisted Basic Details Submitted ,AMD,0.090909091
,"April 9, 2026",D2C,        AOD Lead Created 2 Unassisted Basic Details Submitted ,AMD,0
,"April 9, 2026",D2C,AOD PA% on BD Fill DT,AMD,0
,"April 9, 2026",D2C,AOD BL% of Asset Attached and FF (on Asset Attached DT),AMD,
,"April 9, 2026",D2C,AOD Banking Req (on BD Fill DT) 2 Login,AMD,
,"April 9, 2026",D2C,AOD : Assisted Form 1 Filled,AMD,
,"April 9, 2026",D2C,AOD : Unassisted Form 1 Filled ,AMD,
,"April 9, 2026",D2C,AOD Basic Details Filled 2 Banking,AMD,
,"April 9, 2026",D2C,AOD Basic Details Filled 2 Login,AMD,
,"April 9, 2026",D2C,AOD : Login 2 CA,AMD,
,"April 9, 2026",D2C,AOD : CA 2 CApp ,AMD,
,"April 9, 2026",D2C,AOD : Capp to TNC Accptd Ever,AMD,
,"April 9, 2026",D2C,        AOD: TNC Accptd Ever to Doc Upload,AMD,
,"April 9, 2026",D2C,        AOD: TNC Accptd Ever to FCU,AMD,
,"April 9, 2026",D2C,        AOD: TNC Accptd Ever to RCU ,AMD,
,"April 9, 2026",D2C,        AOD: TNC Accptd Ever to DM,AMD,
,"April 9, 2026",D2C,AOD:  DM To Internal Disbursed,AMD,
,"April 9, 2026",D2C,Funl : TNC Accptd Ever to DM,AMD,
,"April 9, 2026",D2C,AOD: TNC Accptd Ever to Int Disbursal,AMD,
,"April 9, 2026",D2C,AOD: Capp Credit Approved to Int Disbursal,AMD,
,"April 9, 2026",D2C,AOD: Capp TNC Accepted to Int Disbursal,AMD,
,"April 9, 2026",D2C,      AOD: Avg ALP on TNC,AMD,
,"April 10, 2026",D2C,AOD Login Done,AMD,
,"April 10, 2026",D2C,AOD Credit Assessed,AMD,
,"April 10, 2026",D2C,AOD Credit Approved,AMD,
,"April 10, 2026",D2C,        AOD TNC Accptd Net,AMD,
,"April 10, 2026",D2C,AOD TNC Accepted,AMD,
,"April 10, 2026",D2C,         AOD: DOC Upload,AMD,
,"April 10, 2026",D2C,        AOD: FCU_CHECKS,AMD,
,"April 10, 2026",D2C,        AOD: RCU_CHECKS,AMD,
,"April 10, 2026",D2C,        AOD: DM,AMD,
