Measure Names,Month of Date,REGION,Measure Values
Avg. Avg. Listing TP,December 2025,AMD,"3,91,805.050432277"
Listing went live,December 2025,AMD,694
Listing Conversion,December 2025,AMD,0.117587259
Avg. LP/TP,December 2025,AMD,0.993868718
Avg. FLP/TP (check from 8th Nov),December 2025,AMD,1.011747675
Avg. LP/CLP,December 2025,AMD,0.828947827
Delisted,December 2025,AMD,703
c2b bought,December 2025,AMD,120
Offer Initiated,December 2025,AMD,"12,006"
Unique Buyer,December 2025,AMD,"5,441"
Offer/Listings,December 2025,AMD,17.299711816
Counter,December 2025,AMD,758
Accepted,December 2025,AMD,"5,068"
% accepted/Offer,December 2025,AMD,0.422122272
Rejected,December 2025,AMD,328
Revision,December 2025,AMD,54
TD completed,December 2025,AMD,25
% TD/Accepted,December 2025,AMD,0.004932912
TD/Listing,December 2025,AMD,0.036023055
Sold,December 2025,AMD,4
Total Revenue,December 2025,AMD,"10,25,532"
Listing Revenue,December 2025,AMD,"8,74,380"
Vas revenue (chr+chat+spp+agreement),December 2025,AMD,"97,710"
Avg Lising fee,December 2025,AMD,"1,259.913544669"
Listing Revenue/day,December 2025,AMD,"28,205.806451613"
Inspection,January 2026,AMD,"4,917"
Avg. Avg Insp TP,January 2026,AMD,"4,66,138.05268511"
workable leads,January 2026,AMD,"4,293"
Total_Listing,January 2026,AMD,678
Avg. Avg. Listing TP,January 2026,AMD,"4,17,978.705014749"
Listing went live,January 2026,AMD,658
Listing Conversion,January 2026,AMD,0.133821436
Avg. LP/TP,January 2026,AMD,0.980986415
Avg. FLP/TP (check from 8th Nov),January 2026,AMD,0.994689168
Avg. LP/CLP,January 2026,AMD,0.827529054
Delisted,January 2026,AMD,897
c2b bought,January 2026,AMD,140
Offer Initiated,January 2026,AMD,"14,543"
Unique Buyer,January 2026,AMD,"6,012"
Offer/Listings,January 2026,AMD,22.101823708
Counter,January 2026,AMD,724
Accepted,January 2026,AMD,"5,692"
% accepted/Offer,January 2026,AMD,0.391391047
Rejected,January 2026,AMD,323
Revision,January 2026,AMD,41
TD completed,January 2026,AMD,29
% TD/Accepted,January 2026,AMD,0.005094870
TD/Listing,January 2026,AMD,0.044072948
Sold,January 2026,AMD,11
Total Revenue,January 2026,AMD,"9,69,545"
Listing Revenue,January 2026,AMD,"8,30,012"
Vas revenue (chr+chat+spp+agreement),January 2026,AMD,"84,080"
Avg Lising fee,January 2026,AMD,"1,224.206489676"
Listing Revenue/day,January 2026,AMD,"26,774.580645161"
Inspection,February 2026,AMD,"4,338"
Avg. Avg Insp TP,February 2026,AMD,"4,66,379.438062284"
workable leads,February 2026,AMD,"3,793"
Total_Listing,February 2026,AMD,432
Avg. Avg. Listing TP,February 2026,AMD,"4,38,015.215277778"
Listing went live,February 2026,AMD,428
Listing Conversion,February 2026,AMD,0.098662978
Avg. LP/TP,February 2026,AMD,0.975367174
Avg. FLP/TP (check from 8th Nov),February 2026,AMD,0.983865696
Avg. LP/CLP,February 2026,AMD,0.841142838
Delisted,February 2026,AMD,624
c2b bought,February 2026,AMD,91
Offer Initiated,February 2026,AMD,"15,657"
Unique Buyer,February 2026,AMD,"6,710"
Offer/Listings,February 2026,AMD,36.581775701
Counter,February 2026,AMD,821
Accepted,February 2026,AMD,"5,654"
% accepted/Offer,February 2026,AMD,0.361116434
Rejected,February 2026,AMD,432
Revision,February 2026,AMD,43
TD completed,February 2026,AMD,32
% TD/Accepted,February 2026,AMD,0.005659710
TD/Listing,February 2026,AMD,0.074766355
Sold,February 2026,AMD,9
Total Revenue,February 2026,AMD,"7,35,851"
Listing Revenue,February 2026,AMD,"6,16,550"
Vas revenue (chr+chat+spp+agreement),February 2026,AMD,"85,080"
Avg Lising fee,February 2026,AMD,"1,427.199074074"
Listing Revenue/day,February 2026,AMD,"22,019.642857143"
Inspection,March 2026,AMD,"3,025"
Avg. Avg Insp TP,March 2026,AMD,"4,65,908.798344371"
workable leads,March 2026,AMD,"2,607"
Total_Listing,March 2026,AMD,579
Avg. Avg. Listing TP,March 2026,AMD,"4,54,720.155440414"
Listing went live,March 2026,AMD,573
Listing Conversion,March 2026,AMD,0.189421488
Avg. LP/TP,March 2026,AMD,1.081860685
Avg. FLP/TP (check from 8th Nov),March 2026,AMD,1.105878940
Avg. LP/CLP,March 2026,AMD,0.945910305
Delisted,March 2026,AMD,273
c2b bought,March 2026,AMD,64
Offer Initiated,March 2026,AMD,"8,774"
Unique Buyer,March 2026,AMD,"4,289"
Offer/Listings,March 2026,AMD,15.312390925
Counter,March 2026,AMD,412
Accepted,March 2026,AMD,"3,439"
% accepted/Offer,March 2026,AMD,0.391953499
Rejected,March 2026,AMD,270
Revision,March 2026,AMD,21
TD completed,March 2026,AMD,19
% TD/Accepted,March 2026,AMD,0.005524862
TD/Listing,March 2026,AMD,0.033158813
Sold,March 2026,AMD,2
Total Revenue,March 2026,AMD,"8,81,495"
Listing Revenue,March 2026,AMD,"8,23,522"
Vas revenue (chr+chat+spp+agreement),March 2026,AMD,"51,930"
Avg Lising fee,March 2026,AMD,"1,422.317789292"
Listing Revenue/day,March 2026,AMD,"43,343.263157895"
Inspection,All,AMD,"40,091"
Avg. Avg Insp TP,All,AMD,"4,50,546.768472538"
workable leads,All,AMD,"35,231"
Total_Listing,All,AMD,"4,977"
Avg. Avg. Listing TP,All,AMD,"4,33,290.159429031"
Listing went live,All,AMD,"4,915"
Listing Conversion,All,AMD,0.122596094
Avg. LP/TP,All,AMD,1.017660063
Avg. FLP/TP (check from 8th Nov),All,AMD,1.031751349
Avg. LP/CLP,All,AMD,0.861866208
Delisted,All,AMD,"4,878"
c2b bought,All,AMD,817
Offer Initiated,All,AMD,"82,385"
Unique Buyer,All,AMD,"33,648"
Offer/Listings,All,AMD,16.761953204
Counter,All,AMD,"2,861"
Accepted,All,AMD,"49,673"
% accepted/Offer,All,AMD,0.602937428
Rejected,All,AMD,"1,407"
Revision,All,AMD,168
TD completed,All,AMD,162
% TD/Accepted,All,AMD,0.003261329
TD/Listing,All,AMD,0.032960326
Sold,All,AMD,58
Total Revenue,All,AMD,"76,55,411"
Listing Revenue,All,AMD,"65,57,791"
Vas revenue (chr+chat+spp+agreement),All,AMD,"8,95,596"
Avg Lising fee,All,AMD,"1,317.619248543"
Listing Revenue/day,All,AMD,"28,388.705627706"
Inspection,August 2025,,88
Avg. Avg Insp TP,August 2025,,"8,64,260.261363636"
workable leads,August 2025,,0
Total_Listing,August 2025,,1
Avg. Avg. Listing TP,August 2025,,"5,04,302"
Listing went live,August 2025,,0
Listing Conversion,August 2025,,0
Avg. LP/TP,August 2025,,1.090616337
Avg. FLP/TP (check from 8th Nov),August 2025,,1.090616337
Avg. LP/CLP,August 2025,,
Delisted,August 2025,,0
c2b bought,August 2025,,0
Offer Initiated,August 2025,,0
Unique Buyer,August 2025,,0
Offer/Listings,August 2025,,
Counter,August 2025,,0
Accepted,August 2025,,0
% accepted/Offer,August 2025,,
Rejected,August 2025,,0
Revision,August 2025,,0
TD completed,August 2025,,0
% TD/Accepted,August 2025,,
TD/Listing,August 2025,,
Sold,August 2025,,0
Total Revenue,August 2025,,944
Listing Revenue,August 2025,,944
Vas revenue (chr+chat+spp+agreement),August 2025,,
Avg Lising fee,August 2025,,944
Listing Revenue/day,August 2025,,52.444444444
Inspection,September 2025,,104
Avg. Avg Insp TP,September 2025,,"18,88,474.375"
workable leads,September 2025,,0
Total_Listing,September 2025,,2
Avg. Avg. Listing TP,September 2025,,"7,35,000"
Listing went live,September 2025,,0
Listing Conversion,September 2025,,0
Avg. LP/TP,September 2025,,0.988425926
Avg. FLP/TP (check from 8th Nov),September 2025,,1.005092593
Avg. LP/CLP,September 2025,,
Delisted,September 2025,,0
c2b bought,September 2025,,0
Offer Initiated,September 2025,,0
Unique Buyer,September 2025,,0
Offer/Listings,September 2025,,
Counter,September 2025,,0
Accepted,September 2025,,0
% accepted/Offer,September 2025,,
Rejected,September 2025,,0
Revision,September 2025,,0
TD completed,September 2025,,0
% TD/Accepted,September 2025,,
TD/Listing,September 2025,,
Sold,September 2025,,0
Total Revenue,September 2025,,"2,478"
Listing Revenue,September 2025,,"2,478"
Vas revenue (chr+chat+spp+agreement),September 2025,,
Avg Lising fee,September 2025,,"1,239"
Listing Revenue/day,September 2025,,112.636363636
Inspection,October 2025,,65
Avg. Avg Insp TP,October 2025,,"16,42,815.43076923"
workable leads,October 2025,,0
Total_Listing,October 2025,,1
Avg. Avg. Listing TP,October 2025,,
Listing went live,October 2025,,2
Listing Conversion,October 2025,,0.030769231
Avg. LP/TP,October 2025,,
Avg. FLP/TP (check from 8th Nov),October 2025,,
Avg. LP/CLP,October 2025,,
Delisted,October 2025,,1
c2b bought,October 2025,,0
Offer Initiated,October 2025,,2
Unique Buyer,October 2025,,2
Offer/Listings,October 2025,,1
Counter,October 2025,,1
Accepted,October 2025,,1
% accepted/Offer,October 2025,,0.5
Rejected,October 2025,,0
Revision,October 2025,,0
TD completed,October 2025,,0
% TD/Accepted,October 2025,,0
TD/Listing,October 2025,,0
Sold,October 2025,,0
Total Revenue,October 2025,,"2,220"
Listing Revenue,October 2025,,"1,770"
Vas revenue (chr+chat+spp+agreement),October 2025,,450
Avg Lising fee,October 2025,,"1,770"
